obs_id,length_obs_s,sex,sig_s,sig_nb,chasing_s,feeding_s,frozen_s,Q1_s,Q2_s,Q3_s,Q4_s,Q5_s,Q6_s,dash_nb
C12V2001,58.330,male,0,0,0.497,0,0,1.498,18.430,1.250,19.894,0,16.981,0
C12V2002,58.330,male,1.000,1,18.744,0,0,0,30.401,0,21.203,0,6.249,0
C12V2003,58.330,male,0,0,14.257,0,0,0,29.423,0,18.481,0,10.153,0
C12V2004,58.330,male,0,0,0,8.001,0,0,13.395,0,12.010,0,32.610,0
C12V2005,66.670,male,0.499,1,14.494,0,0,4.494,25.386,9.250,15.888,4.247,6.994,2
C12V2006,58.330,male,2.503,1,10.499,2.252,0,10.167,3.494,9.997,14.398,11.248,8.743,0
C12V2007,58.330,male,1.252,1,18.251,0,0,27.886,0,23.408,0,6.741,0,0
C12V2008,58.330,male,0.499,1,14.500,0,0,21.244,5.750,7.146,13.484,1.906,8.247,0
C12V2009,58.330,male,0,0,14.501,8.503,0,16.855,2.057,8.741,0.999,21.398,7.999,0
C13V1000,66.730,male,0,0,10.358,0.500,0,0,0,1.749,8.995,22.868,32.639,0
C13V1001,58.330,male,0.747,1,7.258,0,0,4.249,0.748,1.749,2.250,42.868,5.997,0
C13V1002,58.330,male,0.751,1,17.753,0,0,15.490,4.832,25.749,4.311,4.647,3.000,0
C13V1003,58.330,male,0,0,19.912,0,0,0,8.401,4.497,19.671,13.749,11.747,0
C13V1004,58.330,male,3.604,3,12.250,0,0,0,14.996,0.748,15.147,13.954,12.997,0
C13V1005,66.670,male,1.497,1,10.498,0,0,0,29.105,0,25.743,0,11.401,0
C13V1006,58.330,male,0.999,1,15.748,0,0,9.995,10.148,8.992,20.682,2.741,5.501,0
C13V1007,58.330,male,0,0,27.924,0,0,0,17.662,7.249,29.643,1.749,1.748,0
C13V1008,58.330,male,2.430,2,27.999,0,0,0,15.832,0,37.740,0,4.498,0
C13V1009,58.330,male,1.000,1,23.479,0,0,0,17.242,0,36.115,0,4.494,0
C13V1010,26.030,male,0,0,3.749,0,0,1.552,9.748,0.585,13.902,0,0,0
C13V2000,66.730,male,0,0,5.994,0,0,38.520,27.745,0,0,0,0,0
C13V2001,58.330,male,1.750,2,2.498,0,0,50.068,0.999,5.497,1.498,0,0,1
C13V2002,58.330,male,6.496,4,28.219,0,0,10.082,9.995,0,17.992,2.000,17.988,0
C13V2003,58.330,male,1.754,3,19.253,0,0,9.649,30.668,3.251,13.004,0,1.496,0
C13V2004,58.330,male,2.250,1,7.748,0,0,2.994,30.619,0.500,7.247,0,16.497,0
C13V2005,66.670,male,0,0,24.751,0,0,0,12.748,4.996,23.762,2.253,22.490,0
C13V2006,58.330,male,0,0,29.868,0,0,0,33.901,0,19.950,0,3.998,0
